ev_stand,ev_hit,ev_double,realized_units,stand_shadow_units,hit_shadow_units
+1.000000,+1.000000,-0.193133,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.842795,+1.000000,+1.000000,+1.000000
+0.000000,+0.000000,-0.838565,+0.000000,+0.000000,+0.000000
-1.000000,+1.000000,-0.417431,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.333333,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.774038,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.610837,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.126904,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.367609,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.362924,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.920635,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.460916,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,+0.185792,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.332410,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.913793,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.776163,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.643068,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.832836,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.766667,+1.000000,-1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
